Braid word,Braid string,Braid index,Euler characteristic lower bound,Euler characteristic upper bound,Rasmussen s-invariant,Arf invariant,Signature
"[-3, 2, 2, 3, -1, -2, 3, -2, 1, 2, 3, -1, 2, 2, 1]",cBBCabCbABCaBBA,4,-1,-1,-2,NC,NC
"[-5, 3, -2, 1, 2, -5, -2, -3, 4, 3, 2, 5, 4, 3, -2, -1, 2, -3, -5, 4, 3, 5, 4]",eCbABebcDCBEDCbaBceDCED,6,1,1,NC,1,1
"[2, 1, 2, -1]",BABa,3,1,1,NC,1,1
"[-4, 3, 4, -2, 1, 3, 2, 4, 3, 3, 1, 3, -2, -3]",dCDbACBDCCACbc,5,-1,-1,-2,NC,NC
"[-2, -1, -1, -1, -3]",aaa,4,-1,-1,2,NC,NC
"[1, -3, 2, 3, -1, 3, 2]",AcBCaCB,4,1,1,NC,1,1
"[1, 1, 1]",AAA,2,-1,-1,-2,NC,NC
"[1, -2, -1, -3, -2, 1, 1, -3, -2, 3, -1, -3, 2, 3, -1, -1, -3, 2, 2, 3, -1, -3, -3]",AbacbAAcbCacBCaacBBCacc,4,-1,-1,2,NC,NC
"[2, 4, -1, 2, 3, -2, 1, -4, -2, -1, -1, -1, -3, -2, -1, 2]",BDaBCbAdbaaacbaB,5,-1,-1,2,NC,NC
"[3, 2, -4, 3, 4, -3, -3, 4, 3, 1, 2, -1, 2, -3, 4, -2]",CBdCDccDCABaBcDb,5,1,1,NC,1,1
