Braid word,Simplified braid word,Braid string,Braid index,Euler characteristic lower bound,Euler characteristic upper bound,Rasmussen s-invariant,Arf invariant,Signature,Determinant,Alexander Polynomial
"[2, 3, 1]",[],,4,1,1,0,0,0,1,"[[0,1]]"
"[2, 1, 1, 1, 3, 2, 2, -1, -1]","[2, 1, 1, 1, 2, 2, -1, -1]",BAAABBaa,4,-1,-1,-2,0,2,15,"[[-2,-1],[-1,4],[0,-5],[1,4],[2,-1]]"
"[2, -1, -2, -3, -3, 2, -1, -2, 3, 2, -3, 1, 2, 3, -2, -1, 3, -1, -2, -3, 2, -1, 3, 2, -3, 1, 1, -2, -3, -1, -2, 1, 3]","[2, -1, -2, -3, -3, 2, -1, -2, 3, 2, -3, 1, 2, 3, -2, -1, 3, -1, -2, -3, 2, -1, 3, 2, -3, 1, 1, -2, -3, -1, -2, 1, 3]",BabccBabCBcABCbaCabcBaCBcAAbcabAC,4,-1,-1,2,0,-2,63,"[[-3,2],[-2,-7],[-1,14],[0,-17],[1,14],[2,-7],[3,2]]"
"[1, -3, -1, -1, -2]",[],,4,1,1,0,0,0,1,"[[0,1]]"
"[1, 3, -2, -4, -2, -3, 2, 4, 1, 1, 2, -3, -4, -2, -3, -1, -3, -4, -1, -3, 2, -1, -2, 3]","[1, 3, -2, -4, -2, -3, 2, 4, 1, 1, 2, -3, -4, -2, -3, -1, -3, -4, -1, -3, 2, -1, -2, 3]",ACbdbcBDAABcdbcacdacBabC,5,-1,-1,2,0,-2,455,"[[-5,-1],[-4,2],[-3,8],[-2,-46],[-1,107],[0,-139],[1,107],[2,-46],[3,8],[4,2],[5,-1]]"
"[-1, 2]",[],,3,1,1,0,0,0,1,"[[0,1]]"
"[-3, 2, -1, 3, 2, 3, -2, -1, 2, -3, -3, -3, 1, 1, 2, -1, -1, 3, -2]","[-3, 2, -1, 3, 2, 3, -2, -1, 2, -3, -3, -3, 1, 1, 2, -1, -1, 3, -2]",cBaCBCbaBcccAABaaCb,4,1,1,0,0,0,1,"[[0,1]]"
"[3, -2, -1, -5, -4, 5, 6, -5, -4, 5, -6, -2, -1, 2, -3, -5, -4, 5, -2, 3, 1, 2, -3, 4]","[3, -2, -1, -5, -4, 5, 6, -5, -4, 5, -6, -2, -1, 2, -3, -5, -4, 5, -2, 3, 1, 2, -3, 4]",CbaedEFedEfbaBcedEbCABcD,7,1,1,0,0,0,1,"[[0,1]]"
"[2, 4, -2, -3, 2, 1, 3, 2, -3, 1, 3, -2, -3, 1, -2, 3, 2, -3, -2, -3, 2, 3, -2, -3, -1, -2, 1, 3]","[2, 1, 3, 2, -3, 1, 3, -2, -3, 1, -2, 3, 2, -3, -2, -3, 2, 3, -2, -3, -1, -2, 1]",BACBcACbcAbCBcbcBCbcabA,5,1,1,0,0,0,1,"[[0,1]]"
"[1, 1, -2, 1]","[1, 1, 1]",AAA,3,-1,-1,-2,1,2,3,"[[-1,1],[0,-1],[1,1]]"
"[-3, -2, -2, 3, -1, -1, -3, -2, 3, -1, -3, 2, 3, 1, 1, 4, 3, 2, -4, -3, -4, -2, 3, -1, -3, 4, 3, 2, 3, 3, -2, -1, 2, -3, -2, 1]","[-3, -2, -2, 3, -1, -1, -3, -2, 3, -1, -3, 2, 3, 1, 1, 4, 3, 2, -4, -3, -4, -2, 3, -1, -3, 4, 3, 2, 3, 3, -2, -1, 2, -3, -2, 1]",cbbCaacbCacBCAADCBdcdbCacDCBCCbaBcbA,5,-1,-1,2,0,-2,7,"[[-1,2],[0,-3],[1,2]]"
"[-4, 3, 2, -4, 3, 2, 2, 3, -5, 4, -3, -4, 5, -3, 5, -4, -5, -3, -2, 3, -4, 5, -2, -2, -3, 4, -2, -2, -1, 2, -3]","[-3, 2, 1, -3, 2, 1, 1, 2, -4, 3, -2, -3, 4, -2, 4, -3, -4, -2, -1, 2, -3, 4, -1, -1, -2, 3, -1, -2]",cBAcBAABdCbcDbDcdbaBcDaabCab,6,1,1,0,0,0,49,"[[-4,1],[-3,-3],[-2,6],[-1,-9],[0,11],[1,-9],[2,6],[3,-3],[4,1]]"
"[1, 1, 1]","[1, 1, 1]",AAA,2,-1,-1,-2,1,2,3,"[[-1,1],[0,-1],[1,1]]"
"[-3, 2, -3, -2, -2, 3, -2, -3, -1, 3, -2]","[-2, 1, -2, -1, -1, 2, -1, -1]",bAbaaBaa,4,-1,-1,2,0,-2,15,"[[-2,-1],[-1,4],[0,-5],[1,4],[2,-1]]"
"[2, 3, -2, 1, -2, 3, 1]","[2, 3, -2, 1, -2, 3, 1]",BCbAbCA,4,1,1,0,0,0,1,"[[0,1]]"
"[2, 1, 2, 4, -3, 4, 3, -2, -1, 3, -2, 3]","[2, 1, 2, 4, -3, 4, 3, -2, -1, 3, -2, 3]",BABDcDCbaCbC,5,1,1,0,0,0,1,"[[0,1]]"
"[2, -3, 1]",[],,4,1,1,0,0,0,1,"[[0,1]]"
"[-1, 3, -4, -4, 3, 2, -1, -1, -2, -2, 4, -3, -4, 2, 2, 1, 1, -2, 4, -2, 1, 2, -4, -3, 4, -2, 1, 2, 4, -3, 1, 1, 2, -1]","[-1, 3, -4, -4, 3, 2, -1, -1, -2, -2, 4, -3, -4, 2, 2, 1, 1, -2, 4, -2, 1, 2, -4, -3, 4, -2, 1, 2, 4, -3, 1, 1, 2, -1]",aCddCBaabbDcdBBAAbDbABdcDbABDcAABa,5,1,1,0,0,0,289,"[[-5,1],[-4,-2],[-3,-7],[-2,33],[-1,-66],[0,83],[1,-66],[2,33],[3,-7],[4,-2],[5,1]]"
"[1, 1, 1]","[1, 1, 1]",AAA,2,-1,-1,-2,1,2,3,"[[-1,1],[0,-1],[1,1]]"
