Braid word,Braid string,Braid index,Euler characteristic lower bound,Euler characteristic upper bound,Rasmussen s-invariant,Arf invariant,Signature
"[-2, -2, -2, 1, 2, -1, 2, 2, 1, 2, 2, 3, 2, 2, -1, 3, 1, -2, -3]",bbbABaBBABBCBBaCAbc,4,-1,-1,-2,0,2
"[-2, -1]",,3,1,1,0,0,0
"[-1, -2, -1, -1, -1, -2]",abaaab,3,-3,-3,4,1,-4
"[2, -1, -2, 1, 2, 1, 2, 1, 2, 1]",BabABABABA,3,-3,-1,-4,1,4
"[-1, -2, -1, -1, -1, -3, 2, -3, 2, 2, -3, -2, 1, 2, 3, -2, -3, 2, -3, -1, 2, 2, -1]",abaaacBcBBcbABCbcBcaBBa,4,-1,-1,2,0,-2
"[2, -3, -2, 1, 1, 2, 1, -3, 2, 3, -1]",BcbAABAcBCa,4,-1,-1,-2,1,2
"[1, 2, 1, 3, -2, -1, 3, 3, 4, -3, 2, 2, -3, -2, -4, -3, 2, -3, 4, 4, 1, 3, -2, 1, 2, -3, -1, -4, -2, -3]",ABACbaCCDcBBcbdcBcDDACbABcadbc,5,1,1,0,0,0
"[2, 1, 3, -1, -3, -1, -1, -2, 3, 2, 1, 1, 3, 1, -3]",BACacaabCBAACAc,4,1,1,0,0,0
"[-1, -2]",,3,1,1,0,0,0
"[-1, -1, -1]",aaa,2,-1,-1,2,1,-2
"[-1, -2]",,3,1,1,0,0,0
"[-1, -1, -1]",aaa,2,-1,-1,2,1,-2
"[1, 1, -2, 1, 2, -1, 2, 2, -1, 2, 2, 2]",AAbABaBBaBBB,3,-3,-1,-4,1,4
"[-1, -2, -1, -1]",aaa,3,-1,-1,2,1,-2
"[1, 1, -4, 2, -3, -2, 4, 2, -3, 1, -2, -2, 1, 2, 3, -2, -1, 3, 2, -3]",AAdBcbDBcAbbABCbaCBc,5,1,1,0,0,0
"[3, 5, 5, 5, -4, -5, 4, -5, -5, 4, -5, 2, 4, -2, 5, -4, -5, -3, 1, -2, -1, -3, -4, 5, 4, -2, 5, -4, -5, 3, 5, 4, -5, -2, -4, -5, 4]",CEEEdeDeeDeBDbEdecAbacdEDbEdeCEDebdeD,6,1,1,0,0,0
"[2, -1, -1, 2, -1, -1, -2, -2, -1, 2]",BaaBaabbaB,3,-1,-1,2,1,-2
"[-3, -4, -1, 2, 3, 5, -4, -1, -2, -3, 4, 4, 3, -2, -1, 2, -3, 2, -3, -4, 3, -2, -4, -2, -4, 3, 1, 4, -5, -3, -2, 1, 4, 3, 2, 1, -2]",cdaBCEdabcDDCbaBcBcdCbdbdCADecbADCBAb,6,1,1,0,0,0
"[2, 1, 4, 3, 2, -4, 3, -1]",BADCBdCa,5,1,1,0,0,0
