Braid word,Braid string,Braid index,Euler characteristic lower bound,Euler characteristic upper bound,Rasmussen s-invariant,Arf invariant,Signature,Determinant,Alexander Polynomial
"[-2, -2, -2, -1]","[-1, -1, -1]",aaa,3,-1,-1,2,1,-2,3,"['[', '[', '-', '1', ',', '1', ']', ',', '[', '0', ',', '-', '1', ']', ',', '[', '1', ',', '1', ']', ']']"
"[-5, -4, 3, 5, 2, -5, -2, 3, -4, -3, 2, 4, 5, 4, 5, -4, -5, -3, 4, 5, -2, -5, -3, -3, 5, -1, -2, 1, -5, 3, 4]","[-5, -4, 3, 5, 2, -5, -2, 3, -4, -3, 2, 4, 5, 4, 5, -4, -5, -3, 4, 5, -2, -5, -3, -3, 5, -1, -2, 1, -5, 3, 4]",edCEBebCdcBDEDEdecDEbeccEabAeCD,6,-1,-1,-2,1,2,3,"['[', '[', '-', '1', ',', '1', ']', ',', '[', '0', ',', '-', '1', ']', ',', '[', '1', ',', '1', ']', ']']"
[1],[],,2,1,1,0,0,0,1,"[[0,1]]"
"[-3, -1, 3, 2, -3, -1, 3, -1, -3, -2, 3, 1, -2]","[-3, -1, 3, 2, -3, -1, 3, -1, -3, -2, 3, 1, -2]",caCBcaCacbCAb,4,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[-1, 4, 3, -4, 2, 4, -3, -4, 1, -2, 1, 2, 3, 2, -3, 2]","[-1, 4, 3, -4, 2, 4, -3, -4, 1, -2, 1, 2, 3, 2, -3, 2]",aDCdBDcdAbABCBcB,5,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[2, 1, 3, 2, -1, -2, 3, -1, 2, 1, -3, 2, 2, 3, -2, 4, -3, -1, -2, -1, -1, -2, 1, 3, 3, -1, 2, 2, 1, -3, -1, 2]","[2, 1, 3, 2, -1, -2, 3, -1, 2, 1, -3, 2, 2, 3, -2, -3, -1, -2, -1, -1, -2, 1, 3, 3, -1, 2, 2, 1, -3, -1, 2]",BACBabCaBAcBBCbcabaabACCaBBAcaB,5,-1,-1,-2,1,2,91,"['[', '[', '-', '4', ',', '-', '1', ']', ',', '[', '-', '3', ',', '5', ']', ',', '[', '-', '2', ',', '-', '1', '1', ']', ',', '[', '-', '1', ',', '1', '8', ']', ',', '[', '0', ',', '-', '2', '1', ']', ',', '[', '1', ',', '1', '8', ']', ',', '[', '2', ',', '-', '1', '1', ']', ',', '[', '3', ',', '5', ']', ',', '[', '4', ',', '-', '1', ']', ']']"
"[1, 3, -2, 1, -2, 3, 2]","[1, 3, -2, 1, -2, 3, 2]",ACbAbCB,4,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[-2, -1, 2, -1]","[-2, -1, 2, -1]",baBa,3,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[-1, -2]",[],,3,1,1,0,0,0,1,"[[0,1]]"
"[4, 2, 3, 3, 1, 3, 2, 1, -2, -3, -1, -3, -3, -2, -4, 3, 2, 3, 1, 2, -4, -2, -2, -2, 4, -3, -2, -1, -3, -2]","[4, 2, 3, 3, 1, 3, 2, 1, -2, -3, -1, -3, -3, -2, -4, 3, 2, 3, 1, 2, -4, -2, -2, -2, 4, -3, -2, -1, -3, -2]",DBCCACBAbcaccbdCBCABdbbbDcbacb,5,-1,-1,2,1,-2,27,"['[', '[', '-', '3', ',', '1', ']', ',', '[', '-', '2', ',', '-', '3', ']', ',', '[', '-', '1', ',', '6', ']', ',', '[', '0', ',', '-', '7', ']', ',', '[', '1', ',', '6', ']', ',', '[', '2', ',', '-', '3', ']', ',', '[', '3', ',', '1', ']', ']']"
"[-1, -2, 1, 2, 2, -1, -2, -2, -2, -1, -2, -1]","[-1, -2, 1, 2, 2, -1, -2, -2, -2, -1, -2, -1]",abABBabbbaba,3,-3,-3,4,0,-4,17,"['[', '[', '-', '2', ',', '2', ']', ',', '[', '-', '1', ',', '-', '4', ']', ',', '[', '0', ',', '5', ']', ',', '[', '1', ',', '-', '4', ']', ',', '[', '2', ',', '2', ']', ']']"
"[3, 2, 1]",[],,4,1,1,0,0,0,1,"[[0,1]]"
"[2, 5, 4, -1, 5, 4, 3, -2, -3, -4, -5, 1, -5, 3, -2, 5, -4, -5, -3, 5, -4, -5, -2, -3, -1]","[2, 5, 4, -1, 5, 4, 3, -2, -3, -4, -5, 1, -5, 3, -2, 5, -4, -5, -3, 5, -4, -5, -2, -3, -1]",BEDaEDCbcdeAeCbEdecEdebca,6,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[-3, 1, 3, 3, -2, -3, -1, 3, -2]","[-3, 1, 3, 3, -2, -3, -1, 3, -2]",cACCbcaCb,4,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[2, 2, 2, 2, -3, -4, -2, -3, 2, -1, -4, 3, 2, -3, 4, 1, -2, -2, -3, 2, 3, 2, -3, -3, -2, -2, -2, -4, -3, -2, 3, 4]","[2, 2, 2, 2, -3, -4, -2, -3, 2, -1, -4, 3, 2, -3, 4, 1, -2, -2, -3, 2, 3, 2, -3, -3, -2, -2, -2, -4, -3, -2, 3, 4]",BBBBcdbcBadCBcDAbbcBCBccbbbdcbCD,5,-1,-1,2,0,0,1,"['[', '[', '-', '2', ',', '1', ']', ',', '[', '0', ',', '-', '1', ']', ',', '[', '2', ',', '1', ']', ']']"
"[2, 3, -4, -3, 1, -2, -1, -3, -2, 1, -4, -1, 4, -3]","[2, 3, -4, -3, 1, -2, -1, -3, -2, 1, -4, -1, 4, -3]",BCdcAbacbAdaDc,5,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[-2, -3, -1]",[],,4,1,1,0,0,0,1,"[[0,1]]"
"[4, -2, 3, -4, -3, 2, -4, -3, -2, 4, -3, 2, 3, -4, -4, 2, 3, 1]","[3, -1, 2, -3, -2, 1, -3, -2, -1, 3, -2, 1, 2, -3, -3, 1, 2]",CaBcbAcbaCbABccAB,5,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[2, 4, 3, -2, -3, -4, -2, -5, -1, 3, -2, 3, -4, -3, 2, -3, 1, -4, 2, 1, -2, -3, -3, -1, 3, 3, 2, -1, -3, -4, 3, -2, 4, -2, -1, 2, 5]","[2, 4, 3, -2, -3, -4, -2, -5, -1, 3, -2, 3, -4, -3, 2, -3, 1, -4, 2, 1, -2, -3, -3, -1, 3, 3, 2, -1, -3, -4, 3, -2, 4, -2, -1, 2, 5]",BDCbcdbeaCbCdcBcAdBAbccaCCBacdCbDbaBE,6,1,1,0,0,0,9,"['[', '[', '-', '2', ',', '1', ']', ',', '[', '-', '1', ',', '-', '2', ']', ',', '[', '0', ',', '3', ']', ',', '[', '1', ',', '-', '2', ']', ',', '[', '2', ',', '1', ']', ']']"
